Policy,Year,Country,Policy_Content,single_url_2,Scope,Document_Type,Economic_Sector,Energy_Types,Source
Act on Promotion of Contracts of National Governments and Other Entities Involving Due Care for Reduction of Greenhouse Gas Emission (Act No. 56 of 2007),2007,JAPAN,"The Act on Promotion of Contracts of National Governments and Other Entities Involving Due Care for Reduction of Greenhouse Gas Emission aims to clarify the responsibilities of the State concerning the promotion of contracts of the State which show consideration for reduction of greenhouse gas emissions, while aiming to reduce greenhouse gases, emitted by the State, by formulating a Basic Policy and otherwise specifying necessary matters, thereby contributing to establishing a society that can develop sustainably with reduced environmental loads.",https://policy.asiapacificenergy.org/node/3685,National,Act,"Energy, Power, Multi-Sector, Other","Coal, Oil, Power, Gas, Other",APEP
Ministerial Office Memorandum No. 27/3/2017-APDRP of 2017 on Continuation of the National Smart Grid Mission (NSGM) beyond March 2017 up to March 2020,2017,INDIA,"The Ministerial Office Memorandum No. 27/3/2017-AODRP of 2017 on Continuation of the National Smart Grid Mission (NSGM) beyond March 2017 up to March 2020 is to continue the National Smart Grid Mssion (NSGM) beyond March 2017 for accelerating the Smart Grid Activities in India with estimated outlay of Rs 990 crore (GBS of Rs. 312 crore) for 1 st April, 2017 to 31 st March, 2020.",https://policy.asiapacificenergy.org/node/3668,National,"Programme, Other",Power,Power,APEP
Hydrocarbon Exploration and Licensing Policy (HELP),2016,INDIA,"The Hydrocarbon Exploration and Licensing Policy (HELP) is an exploration and production policy of the Government of India in the hydrocarbon sector, adopted in 2016. Four main facets of this policy are: (a) uniform license for exploration and production of all forms of hydrocarbon, (b) an open acreage policy, (c) easy to administer revenue sharing model and (d) marketing and pricing freedom for the crude oil and natural gas produced.",https://policy.asiapacificenergy.org/node/3665,National,Overarching Policy,Energy,"Oil, Gas",APEP
"Measures for Resolving Curtailment of Hydro, Wind and PV Power Generation",2017,CHINA,"The Measures for Resolving Curtailment of Hydro, Wind and PV Power Generation aim to improve the level of renewable energy utilization, and to advance solutions that will achieve practical results in resolving the issue of curtailment of hydro, wind, and PV power generation.",https://policy.asiapacificenergy.org/node/3567,National,Other,Power,"Power, Hydropower, Solar, Wind",APEP
Decree No. 810 of 2013 on Additional Measures in the Field of Alternative and Renewable Energy,2013,AZERBAIJAN,"The Decree No. 810 of 2013 on Additional Measures in the Field of Alternative and Renewable Energy reorganised the State Company on Alternative and Renewable Energy Sources and renamed it as Azalternativenerji‖ Limited Liability Company. Under the Decree, Azalternativenerji‖ was transferred to the subordination of the newly formed SAARES (State Agency on Alternative and Renewable Energy Sources).",https://policy.asiapacificenergy.org/node/3525,National,Decree,Energy,Renewable,APEP
Intermittency Pricing Mechanism for Intermittent Generation Sources in the National Electricity Market of Singapore (Final Determination Paper),2018,SINGAPORE,The Intermittency Pricing Mechanism for Intermittent Generation Sources in the National Electricity Market of Singapore (Final Determination Paper) provides the summary of feedback received from the consultation with industry stakeholders in 2017. The Final Determination Paper serves as an enhancement to the Regulatory Framework for Intermittent Generation.,https://policy.asiapacificenergy.org/node/3443,National,Rule/Regulation,Power,"Power, Renewable, Solar, Wind",APEP
Greater Mekong Subregion Regional Investment Framework Implementation Plan 2014–2018 (RIF-IP),2014,"CAMBODIA, CHINA, LAO PDR, MYANMAR, THAILAND, VIET NAM",The Greater Mekong Subregion Regional Investment Framework Implementation Plan 2014–2018 sets forth the parameters for a resource mobilization campaign to address financing needs and establish a monitoring and evaluation system to track the status of individual projects (including those in the energy sector) and the Regional Investment Framework Implementation Plan3 as a whole.,https://policy.asiapacificenergy.org/node/3326,Multilateral,Plan/Strategy,"Energy, Power, Industry, Transport, Multi-Sector, Other","Power, Renewable, Hydropower, Other",APEP
National Medium-Term Development Plan (RPJMN) 2004 – 2009,2004,INDONESIA,"The National Medium-Term Development Plan (RPJMN) 2004 – 2009 elaborates the Vision, Mission, and Program of the President, the formulation of which is based on the National Long‐Term Development Plan (RPJPN) 2005-2025, and contains the national development strategy, general policies, programs of ministries/agencies and cross‐ministries/agencies programs, regional and cross‐regional programs, as well as the macroeconomic framework, which covers the overall economic situation in a work plan comprising regulatory and indicative funding frameworks. The Plan is divided into 36 Chapters, and contains provisions regarding the government priorities to improve the 'Management of Natural Resources and Conservation of Functions of the Natural Environment' (Chapter 32).",https://policy.asiapacificenergy.org/node/3309,National,Plan/Strategy,"Energy, Power, Multi-Sector","All, Coal, Oil, Power, Gas",APEP
"ASEAN Plan of Action on Science, Technology and Innovation (APASTI) 2016-2025: Implementation Plan",2016,"BRUNEI DARUSSALAM, CAMBODIA, INDONESIA, LAO PDR, MALAYSIA, MYANMAR, PHILIPPINES, SINGAPORE, THAILAND, VIET NAM","The ASEAN Plan of Action on Science, Technology and Innovation (APASTI) for period 2016-2025: Implementation Plan, adopted by the Ministers on 6 November 2015 during the 16th ASEAN Ministerial Meeting on Science and Technology, aims the following goals: 1. ASEAN Science, Technology and Innovation (STI) addressing the Grand Challenges of the new millennium; 2. Economically integrated ASEAN involving active collaboration between the public & private sectors especially SMEs and enhanced mobility of talents; 3. Deep awareness of STI & the beneficial impacts of STI on the bottom of the pyramid; 4. An innovation-driven economy with a deep STI enculturation and a system of seeding and sustaining STI by leveraging ICT and the resources of our talented young, women and private sectors; 5. Active R&D collaboration, technology commercialisation and entrepreneurship and network of centres of excellence; and 6. An enhanced STI management system in the new AEC so as to support ASEAN Innovation reaching global markets and that promotes innovation, integration and narrowing of development gaps across AMS.",https://policy.asiapacificenergy.org/node/3278,Multilateral,Plan/Strategy,"Energy, Industry, Multi-Sector","All, Coal, Gas, Nuclear, Renewable, Bioenergy, Solar, Other",APEP
ASEAN Trade in Goods Agreement (ATIGA),2010,"BRUNEI DARUSSALAM, CAMBODIA, INDONESIA, LAO PDR, MALAYSIA, MYANMAR, PHILIPPINES, SINGAPORE, THAILAND, VIET NAM",ASEAN Trade in Goods Agreement (ATIGA) to achieve free flow of goods in ASEAN as one of the principal means to establish a single market and production base for the deeper economic integration of the region towards the realisation of the AEC by 2015.,https://policy.asiapacificenergy.org/node/3269,Multilateral,Agreement,"Energy, Power, Multi-Sector","Oil, Power",APEP
Law No. 587 of 2010 on the Use of Renewable Energy Sources (2015 Ed.),2015,TAJIKISTAN,"The Law regulates the legal relations that arise between state bodies, individuals and legal entities in the area of effective use of renewable energy sources, and determines the legal and economic bases to ensure the increase of energy saving potential, by reducing the level of anthropogenic impact on the environment and climate and preserving traditional sources of energy for future generations.---[Russian]: Настоящий Закон регулирует правовые отношения, возникающие между государственными органами, физическими и юридическими лицами в сфере приоритетного и эффективного использования возобновляемых источников энергии и определяет правовые и экономические основы, обеспечивающие повышение уровня энергосбережения, снижение уровня антропогенного воздействия на окружающую среду и климат, экономию и сохранение невозобновляемых источников энергии для будущих поколений.",https://policy.asiapacificenergy.org/node/3226,National,"Overarching Policy, Law","Energy, Power","Power, Renewable, Geothermal, Hydropower, Solar, Wind",APEP
Law No. 1018 of 2013 on Energy Efficiency and Conservation,2013,TAJIKISTAN,"The Law regulates public relations in the field of energy saving and energy efficiency, as well as determines procedures for the use of fuel and energy resources and its by-products.",https://policy.asiapacificenergy.org/node/3222,National,Law,"Energy, Power","All, Power, Other",APEP
