Country,ID of policy or measure,Name of policy or measure,Description,Geographical_coverage,"Single policy or measure, or group of measures",Report_ID,Policies or measures included in the group,Type of policy instrument,Status of implementation,"Policy impacting EU ETS, ESD or LULUCF emissions",Sector(s) affected,Objective(s),Quantified objective,GHG(s) affected,Total GHG emissions reductions in 2025 (kt CO2eq/y),Total GHG emissions reductions in 2030 (kt CO2eq/y),Total GHG emissions reductions in 2035 (kt CO2eq/y),Total GHG emissions reductions in 2040 (kt CO2eq/y),Entities responsible for implementing the policy (type),Entities responsible for implementing the policy,Implementation period start,Implementation period finish,Is the policy or measure related to a Union policy?,Related Union Policy,Does_the_PaM_relate_to_Air_Pollution_policy?,Projection scenario in which the policy or measure is included,Indicator used to monitor and evaluate progress over time,Contribution to the LTS,General comment,Main reference,URL to main reference,GHG emissions reductions EU ETS in 2025 (kt CO2eq/y),GHG emissions reductions ESR in 2025 (kt CO2eq/y),GHG emissions reductions LULUCF in 2025 (kt CO2eq/y),GHG emissions reductions EU ETS in 2030 (kt CO2eq/y),GHG emissions reductions ESD in 2030 (kt CO2eq/y),GHG emissions reductions LULUCF in 2030 (kt CO2eq/y),GHG emissions reductions EU ETS in 2035 (kt CO2eq/y),GHG emissions reductions ESD in 2035 (kt CO2eq/y),GHG emissions reductions LULUCF in 2035 (kt CO2eq/y),GHG emissions reductions EU ETS in 2040 (kt CO2eq/y),GHG emissions reductions ESD in 2040 (kt CO2eq/y),GHG emissions reductions LULUCF in 2040 (kt CO2eq/y),Explanation of the basis for the mitigation estimates,Factors affected by the PaM,Reference for ex-ante assessment,Web link for ex-ante assessment,Year for which reduction applies (ex post),Average ex post emission reduction (kt CO2eq/y),Reference for ex-post assessment,Web link for ex-post assessment,Projected gross costs (EUR per tonne CO2eq reduced/ sequestered),Projected absolute costs per year (EUR),Year projected cost has been calculated for,Price reference year (projected costs),Projected benefits (EUR per tonne CO2eq reduced/ sequestered),Projected absolute benefit per year (EUR),Projected net costs (EUR per tonne CO2eq reduced/ sequestered),Projected net cost per year (EUR),Description of projected cost estimates,Description of non-GHG mitigation projected benefits,Reference for projected costs and benefits,Web link for projected costs and benefits,Realised gross costs (EUR per tonne CO2eq reduced/ sequestered),Realised absolute costs per year (EUR),Year realised cost has been calculated for,Price reference year (realised costs),Realised benefits (EUR per tonne CO2eq reduced/ sequestered),Realised absolute benefit per year (EUR),Realised net costs (EUR per tonne CO2eq reduced/ sequestered),Realised net cost per year (EUR),Description of realised cost estimates,Description of non-GHG mitigation realized benefits,Reference for realised costs and benefits,Web link for realised costs and benefits
Netherlands,48,Climate Act,"The Climate Act was agreed by Parliament in Juny 2019. It calls for a 49% reduction in greenhouse gas emissions by 2030, compared to 1990 levels, and ambitions for a 95% reduction by 2050. The Act should give individuals and companies in the Netherlands more certainty about the climate goals.",National,Single,521,Single PaM,Regulatory,Implemented,ESD/ESR; EU ETS; LULUCF,Other Sectors,Other Sectors: New objective(s),"Ambition: the Climate Act calls for a 49% reduction in greenhouse gas emissions by 2030, compared to 1990 levels",CH4; CO2; HFC; N2O; NF3; PFC; SF6,,,,,National government,National government: Ministry of Economic Affairs and Climate (EZK)/Various ministries,2019,2050,No,No information,No,No information,GHG emission reduction % relative to base year 1990,see remarks in attachment,,,https://wetten.overheid.nl/BWBR0042394/2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,49,Roadmaps for sustainability & Performance standards for office & service buildings,"The introduction of legal energy performance standards is planned, consisting of ambitions for 2030 and a standard for 2050. Also owners develop roadmaps with actions as to how to transform their (portfolio of) buildings towards these standards",National,Single,521,Single PaM,Regulatory,Implemented,ESD/ESR,Energy Consumption,Energy Consumption: Efficiency improvements of buildings,No quantitative ex-ante objectives,CO2,,,,,National government,National government: Ministry of the Interior and Kingdom Relations (BZK),2019,2050,No,No information,No,No information,,see remarks in attachment,,,https://www.rvo.nl/onderwerpen/duurzaam-ondernemen/gebouwen/maatschappelijk-vastgoed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,50,Performance standards (social) housing,"In the climate agreement, the introduction of energy performance standards has been announced, to be based on a 'sensible' assessment of heat consumption needs, cost and benefits etc. First it would involve non-mandatory target values, but by 2050 the intention is that standards would become mandatory for rental housing",National,Single,521,Single PaM,Regulatory,Planned,ESD/ESR,Energy Consumption,Energy Consumption: Efficiency improvements of buildings,No quantitative ex-ante objectives,CO2,,,,,National government,National government: Ministry of the Interior and Kingdom Relations (BZK),2019,2050,No,No information,No,With existing measures,,see remarks in attachment,,,https://www.klimaatakkoord.nl/gebouwde-omgeving/documenten/publicaties/2019/06/28/klimaatakkoord-gebouwde-omgeving-in-het-kort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,51,BOSA Subsidy scheme for buiding and maintanance of sporting accommodations,"A subsidy scheme for sports facilities supports investment in accommodation of sport clubs. It has a more broad character than climate related investments,  but since 2019 also explicitly includes energy measures (energy saving and renewable energy). Up to 2018 such energy measures were supported by a seperate scheme (EDS)",National,Single,521,Single PaM,Economic,Implemented,ESD/ESR,Energy Consumption; Energy Supply,"Energy Consumption: Efficiency improvements of buildings,Energy Supply: Increase in renewable energy sources in the electricity sector",No quantitative ex-ante objectives,CO2,,,,,National government,National government: Ministry of Health;  Welfare and Sports (VWS)/Dienst Uitvoering Subsidies aan Instellingen (DUS-I),2019,2023,No,No information,No,With existing measures,,see remarks in attachment,,,https://www.dus-i.nl/subsidies/stimulering-bouw-en-onderhoud-sportaccommodaties; Website: https://wetten.overheid.nl/BWBR0041184/2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,52,Subsidy scheme Reduction Energy Use Dwellings,"Through the RRE (2019) and RREW (2021) schemes, municipalities may launch projects to stimulate house owners to implement small energy saving measures e.g. for improving heating installations/isolation (control, radiator folium, isolation, etc.). Municipalities may also use the scheme for providing advice to owners on other energy saving measures e.g. roof-, window- or facade-isolation.  The RRE was running in 2019. In 2021 a renewed scheme (RREW) opened, now also including the involvement of tenants (in 2019 still excluded)",National,Single,521,Single PaM,Economic,Implemented,ESD/ESR,Energy Consumption,Energy Consumption: Efficiency improvements of buildings,No quantitative ex-ante objectives,CO2,,,,,Local government; National government,National government: Ministry of the Interior and Kingdom Relations (BZK); Local government: Provinces,2019,,No,No information,No,With existing measures,,see remarks in attachment,,,https://www.rvo.nl/subsidie-en-financieringswijzer/rrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,53,Block by Block approach,"The block-by-block approach is not a seperate PAM but a structured, area-specific approachapproach underlying some other PAMs (e.g. on  Heat Transition Visions and the pilots on natural-gas-free neighbourhoods). It  involves owners of buildings and inhabitants in making the neighbourhood more sustainable. This block/neighbourhood scale seems very suitable for introducing alternatives to natural gas systems. Municipalities are in the lead and have to describe in what neighbourhoods they plan to implement the approach at what time in their visions on heat transition  (TvW). The national government intends to take care of timely availability of a legal framework for a further block-by-block approach.",National,Single,521,Single PaM,Other,Implemented,ESD/ESR,Energy Consumption,Energy Consumption: Efficiency improvements of buildings,Ambition: part of a package of PAMs with a.o. the ambition to have 1.5 miljoen dwellings made more sustainable (with regard to energy use and supply) by 2030,CO2,,,,,National government,National government: Ministry of the Interior and Kingdom Relations (BZK),2019,2030,No,No information,No,With additional measures,,see remarks in attachment,,,https://www.klimaatakkoord.nl/gebouwde-omgeving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,54,Climatecampaign 'Everybody acts',"The governement undertakes a multi-annual public campaign on climate-change ('Iedereen doet wat'), that aims to stimulate citizens to undertake sustainability oriented measures and provide suggestions for this. Also campaigns on electric transport are included",National,Single,521,Single PaM,Information,Implemented,ESD/ESR,Energy Consumption; Transport,"Energy Consumption: Efficiency improvements of buildings,Transport: Improved behavior",No quantitative ex-ante objectives,CO2,,,,,National government; Others,Others: Milieucentraal; National government: Various ministries,2019,,No,No information,No,With existing measures,,see remarks in attachment,,,https://www.iedereendoetwat.nl/over-de-campagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,55,Environmental Protection Act: Mandatory reporting of measures taken (notification obligation),"To further support enforcement of energy saving measures under the Environmental Protection Act, the parties to the energy agreement have added a mandatory system for the relevant companies of informing the competent authority on measures taken (article 2.15 of the Decree). This notification obligation was due through an RVO website application before july 1st, 2019 and subsequently it has to be updated every four years.  Companies participating to the energy covenants did not have to comply to this system, since they have alternative information duties.  The Recognised Lists of Measures (in Dutch: EML Erkende Maatregelenlijst), introduced earlier, are to be used as starting point for reporting on the type of measures taken. Failure to comply may result in financial penalties.",National,Single,521,Single PaM,Regulatory,Implemented,ESD/ESR; EU ETS,Energy Consumption,"Energy Consumption: Efficiency improvement in industrial end-use sectors,Energy Consumption: Efficiency improvements of buildings",No quantitative ex-ante objectives,CO2,,,,,National government,National government: Ministry of Infrastructure and Water Management (I&amp;W),2019,,No,No information,No,With existing measures,,see remarks in attachment,,,https://www.rvo.nl/onderwerpen/duurzaam-ondernemen/energie-besparen/informatieplicht-energiebesparing/informatieplicht-voor-bedrijven-en-instellingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,56,Subsidy scheme restructuring pig farming sector,"This schemes aimes at contributing to reduce environmental effects (odor, emissions) and make the pig farming sector more sustainable. It is one of various measures to support actions developed e.g in the Action Plan for the Revitalisation of the Pig Farming Industry (Actieplan Vitalisering Varkenshouderij). One track of measures is to scale back pig farming now supported through this restructuring scheme for the pig farming industry, with buying up and cancellation of pig rights and demolition of pig sheds. This scheme applies for certain regions in the Netherlands",National,Single,521,Single PaM,Economic,Expired,ESD/ESR,Agriculture,Agriculture: Reduction of fertilizer/manure use on cropland,No quantitative ex-ante objectives,CH4; N2O,,,,,National government,National government: Ministry of Agriculture (including Nature and Food Quality/LNV)/Netherlands Enterprises Agency (RVO),2019,2020,No,No information,Yes,With existing measures,,see remarks in attachment,,,https://www.rijksoverheid.nl/onderwerpen/veehouderij/documenten/regelingen/2019/04/30/subsidieregeling-sanering-varkenshouderijen ; website: https://www.rijksoverheid.nl/documenten/kamerstukken/2019/06/28/kamerbrief-over-uitvoering-urgenda-vonnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,57,National Programme Agricultural Soils (NPL) (Sustainable management of agricultural soils),"Through smart and sustainable management of agricultural soils, CO2 capture may be enhanced. The government together with other parties develop measures toward a sustainable management of all agricultural soils by 2030 a.o. through a national programme",National,Single,521,Single PaM,Research,Implemented,ESD/ESR; LULUCF,Agriculture,Agriculture: Improved management of organic soils,"Ambition: part of a package of PAMs with a.o. the ambition of an additional 0,5 Mton carbon capture  (mentioned in the climate agreement).",CH4; N2O,,,,,National government,National government: Ministry of Agriculture (including Nature and Food Quality/LNV),2019,2030,No,No information,No,No information,,see remarks in attachment,,,https://www.denationaleomgevingsvisie.nl/samenwerking+en+uitvoering/programmas/nationaal+programma+landbouwbodems/default.aspx; Website: https://www.rijksoverheid.nl/documenten/kamerstukken/2020/09/04/nationaal-programma-landbouwbodems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,58,Healthy food & efficient use,"In the Climate Agreement, organisations have agreed upon developing measures  aiming to reduce food waste in food production and consumption chains, as wel as to help consumers to waste less food and improve a better balance between sustainable, healthy, safe en affordable food, as well as a proper balance between animal and vegetable proteins in the human diet. To be worked out further.",National,Single,521,Single PaM,Other,Implemented,ESD/ESR,Agriculture,Agriculture: Other agriculture,"Ambition: by 2030, to reduce food waste caused by consumers and retail by 50% compared to 2015",CH4; N2O,,,,,National government,National government: Ministry of Agriculture (including Nature and Food Quality/LNV),2019,,No,No information,No,No information,,see remarks in attachment,,,https://www.rijksoverheid.nl/onderwerpen/voeding/vermindering-voedselverspilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,59,DEI+ Demonstration scheme Energy & Climate innovations,"The energy innovation demonstration subsidy scheme (DEI) is expanded as much as possible from a scheme specifically for energy savings and renewable energy production to a scheme that supports all carbon emissions reduction options, in line with the scope of the Integrated Knowledge and Innovation Agenda (IKIA) that is established under the Climate Agreement. It will also emcompass options for system integration (incl. hydrogen) and for a more sustainable use of resources (circular economy)",National,Single,521,Single PaM,Economic,Implemented,ESD/ESR; EU ETS,Energy Consumption; Energy Supply; Industrial Processes,"Energy Consumption: Efficiency improvement in industrial end-use sectors,Energy Consumption: Efficiency improvement in services/tertiary sector,Energy Consumption: Efficiency improvements of buildings,Energy Supply: Carbon capture and storage or carbon capture and utilization,Energy Supply: Increase in renewable energy in the heating and cooling sector,Energy Supply: Increase in renewable energy sources in the electricity sector,Industrial Processes: Other industrial processes",No quantitative ex-ante objectives,CH4; CO2; N2O,,,,,National government,National government: Netherlands Enterprises Agency (RVO),2019,,No,No information,No,With existing measures,,see remarks in attachment,,,https://www.rvo.nl/subsidie-en-financieringswijzer/demonstratie-energie-en-klimaatinnovatie-dei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
